year,from,to,pop
2019,雲林縣,花蓮縣,3566
2019,雲林縣,苗栗縣,3954
2019,雲林縣,連江縣,152
2019,雲林縣,金門縣,1751
2019,雲林縣,雲林縣,505043
2019,雲林縣,高雄市,40037
2019,高雄市,南投縣,6183
2019,高雄市,嘉義市,6750
2019,高雄市,嘉義縣,11911
2019,高雄市,基隆市,5797
2019,高雄市,宜蘭縣,3959
2019,高雄市,屏東縣,75210
2019,高雄市,彰化縣,12819
2019,高雄市,新北市,92105
2019,高雄市,新竹市,11385
2019,高雄市,新竹縣,11745
2019,高雄市,桃園市,51951
2019,高雄市,澎湖縣,10435
2019,高雄市,臺中市,59321
2019,高雄市,臺北市,75915
2019,高雄市,臺南市,115512
2019,高雄市,臺東縣,7230
2019,高雄市,花蓮縣,6062
2019,高雄市,苗栗縣,5664
2019,高雄市,連江縣,472
2019,高雄市,金門縣,7701
2019,高雄市,雲林縣,11489
2019,高雄市,高雄市,1929487
2022,南投縣,南投縣,333006
2022,南投縣,嘉義市,1703
2022,南投縣,嘉義縣,2635
2022,南投縣,基隆市,2305
2022,南投縣,宜蘭縣,1535
2022,南投縣,屏東縣,2490
2022,南投縣,彰化縣,23505
2022,南投縣,新北市,47250
2022,南投縣,新竹市,3750
2022,南投縣,新竹縣,4234
2022,南投縣,桃園市,23201
2022,南投縣,澎湖縣,695
2022,南投縣,臺中市,110857
2022,南投縣,臺北市,26131
2022,南投縣,臺南市,7578
2022,南投縣,臺東縣,1603
2022,南投縣,花蓮縣,2414
2022,南投縣,苗栗縣,3514
2022,南投縣,連江縣,183
2022,南投縣,金門縣,1279
2022,南投縣,雲林縣,7113
2022,南投縣,高雄市,13012
2022,嘉義市,南投縣,1697
2022,嘉義市,嘉義市,163999
2022,嘉義市,嘉義縣,138058
2022,嘉義市,基隆市,1084
2022,嘉義市,宜蘭縣,732
2022,嘉義市,屏東縣,1931
2022,嘉義市,彰化縣,4044
2022,嘉義市,新北市,28980
2022,嘉義市,新竹市,3610
2022,嘉義市,新竹縣,3455
2022,嘉義市,桃園市,14210
2022,嘉義市,澎湖縣,786
2022,嘉義市,臺中市,22794
2022,嘉義市,臺北市,21237
2022,嘉義市,臺南市,28607
2022,嘉義市,臺東縣,555
2022,嘉義市,花蓮縣,796
2022,嘉義市,苗栗縣,1507
2022,嘉義市,連江縣,105
2022,嘉義市,金門縣,1154
2022,嘉義市,雲林縣,21915
2022,嘉義市,高雄市,17552
2022,嘉義縣,南投縣,4269
2022,嘉義縣,嘉義市,34532
2022,嘉義縣,嘉義縣,234580
2022,嘉義縣,基隆市,3030
2022,嘉義縣,宜蘭縣,1900
2022,嘉義縣,屏東縣,5092
2022,嘉義縣,彰化縣,9104
2022,嘉義縣,新北市,98817
2022,嘉義縣,新竹市,4095
2022,嘉義縣,新竹縣,3722
2022,嘉義縣,桃園市,34012
2022,嘉義縣,澎湖縣,558
2022,嘉義縣,臺中市,36455
2022,嘉義縣,臺北市,37898
2022,嘉義縣,臺南市,30695
2022,嘉義縣,臺東縣,2067
